k,T1_C,u_aplicado_pct,dx_C,du_aplicado_pct
0,-50.0,9.763,0.0,9.763
1,-44.296,43.038,5.704000000000001,43.038
2,123.314,20.553,173.314,20.553
3,29.986,8.977,79.986,8.977
4,-16.033,0.0,33.967,0.0
5,-50.0,29.179,0.0,29.179
6,8.266,0.0,58.266,0.0
7,-50.0,78.355,0.0,78.355
8,172.138,92.733,222.138,92.733
9,154.51,0.0,204.51,0.0
10,-50.0,58.345,0.0,58.345
11,34.724,5.779,84.72399999999999,5.779
12,-47.486,13.609,2.514000000000003,13.609
13,5.559,85.119,55.559,85.119
14,238.911,0.0,288.911,0.0
15,-50.0,0.0,0.0,0.0
16,-50.0,0.0,0.0,0.0
17,-50.0,66.524,0.0,66.524
18,108.651,55.631,158.651,55.631
19,101.916,74.002,151.916,74.002
20,113.775,95.724,163.775,95.724
21,160.633,59.832,210.633,59.832
22,45.455,0.0,95.455,0.0
23,-50.0,56.106,0.0,56.106
24,168.528,0.0,218.528,0.0
25,-50.0,27.984,0.0,27.984
26,60.924,0.0,110.924,0.0
27,-50.0,88.934,0.0,88.934
28,142.522,4.37,192.522,4.37
29,-42.975,0.0,7.024999999999999,0.0
30,-50.0,0.0,0.0,0.0
31,-50.0,54.847,0.0,54.847
32,60.247,0.0,110.247,0.0
33,-50.0,13.687,0.0,13.687
34,8.233,0.0,58.233000000000004,0.0
35,-50.0,23.527,0.0,23.527
36,47.646,22.419,97.646,22.419
37,-33.629,23.387,16.371000000000002,23.387
38,-28.344,88.75,21.656,88.75
39,130.791,36.364,180.791,36.364
40,7.686,0.0,57.686,0.0
41,-50.0,0.0,0.0,0.0
42,-50.0,39.526,0.0,39.526
43,40.299,0.0,90.299,0.0
44,-50.0,33.353,0.0,33.353
45,78.036,34.128,128.036,34.128
46,89.605,0.0,139.60500000000002,0.0
47,-50.0,0.0,0.0,0.0
48,-50.0,0.0,0.0,0.0
49,-50.0,0.0,0.0,0.0
50,-50.0,14.039,0.0,14.039
51,-33.5,0.0,16.5,0.0
52,-50.0,97.675,0.0,97.675
53,216.546,0.0,266.546,0.0
54,-50.0,0.0,0.0,0.0
55,-50.0,0.0,0.0,0.0
56,-50.0,30.622,0.0,30.622
57,70.882,0.0,120.882,0.0
58,-50.0,0.0,0.0,0.0
59,-50.0,0.0,0.0,0.0
60,-50.0,0.0,0.0,0.0
61,-50.0,0.0,0.0,0.0
62,-50.0,31.266,0.0,31.266
63,65.081,0.0,115.081,0.0
64,-50.0,0.0,0.0,0.0
65,-50.0,0.0,0.0,0.0
66,-50.0,64.199,0.0,64.199
67,141.877,0.0,191.877,0.0
68,-50.0,67.589,0.0,67.589
69,65.983,0.0,115.983,0.0
70,-50.0,95.292,0.0,95.292
71,141.361,0.0,191.361,0.0
72,-50.0,95.352,0.0,95.352
73,248.74,20.969,298.74,20.969
74,29.761,47.853,79.761,47.853
75,117.063,0.0,167.063,0.0
76,-50.0,0.0,0.0,0.0
77,-50.0,0.0,0.0,0.0
78,-50.0,0.0,0.0,0.0
79,-50.0,0.0,0.0,0.0
80,-50.0,0.0,0.0,0.0
81,-50.0,0.0,0.0,0.0
82,-50.0,0.0,0.0,0.0
83,-50.0,38.494,0.0,38.494
84,105.3,13.32,155.3,13.32
85,2.723,0.0,52.723,0.0
86,-50.0,4.65,0.0,4.65
87,-44.328,0.0,5.671999999999997,0.0
88,-50.0,15.189,0.0,15.189
89,-15.743,85.859,34.257,85.859
90,183.707,0.0,233.707,0.0
91,-50.0,33.482,0.0,33.482
92,-3.239,0.0,46.761,0.0
93,-50.0,43.265,0.0,43.265
94,126.698,0.0,176.69799999999998,0.0
95,-50.0,0.0,0.0,0.0
96,-50.0,17.303,0.0,17.303
97,18.804,0.0,68.804,0.0
98,-50.0,65.788,0.0,65.788
99,82.967,0.0,132.96699999999998,0.0
100,-50.0,,0.0,
